,Stag-Stag Rate,Hare-Hare Rate,Miscoordination Rate
Q-Learning vs Q-Learning,0.1,0.19,0.71
FictitiousPlay vs FictitiousPlay,1.0,0.0,0.0
RegretMatching vs RegretMatching,0.81,0.19,0.0
