sucker_payoffs,stag_stag_rates
0.0,0.1
-0.5,0.09
-1.0,0.09
-1.5,0.09
-2.0,0.09
-2.5,0.07
-3.0,0.06
-3.5,0.03
-4.0,0.03
-4.5,0.0
-5.0,0.01
